index	label	city	Lufthansa	American Airlines	United	Adria
string	string	string	1 0	1 0	1 0	1 0
						class
423	KIN	Kingston JM	0	1	0	0
424	OIT	Oita, Japan	0	0	1	0
425	BRU	Brüssel/Brussels	1	1	1	1
426	SAP	San Pedro Sula HN	0	1	1	0
427	ZAQ	Nuremberg (Main/HBF) Rail Svc DE	0	1	0	0
428	CRP	Corpus Christi TX US	0	1	0	0
429	SKP	Skopje	1	0	0	1
430	FDF	Ft De France MQ	0	1	0	0
431	FDH	Friedrichshafen	1	0	0	0
432	DMM	Dammam	1	0	0	0
433	SKG	Thessaloniki	1	0	0	0
434	SKB	St Kitts KN	0	1	0	0
435	RGN	Rangun/Yangon	1	0	0	0
436	QXG	Angers Rail Svc FR	0	1	1	0
437	LDB	Londrina PR BR	0	1	0	0
438	XDB	Lille Rail Svc FR	0	1	1	0
439	BUR	Burbank CA US	0	1	1	0
440	MFR	Medford	1	1	1	0
441	GEG	Spokane	1	1	1	0
442	WNZ	Wenzhou	1	0	0	0
443	OAX	Oaxaca MX	0	1	0	0
444	BUF	Buffalo	1	1	1	0
445	BUD	Budapest	1	1	1	0
446	QXB	Aix en Provence Rail Svc FR	0	1	0	0
447	VGO	Vigo	1	0	0	0
448	XER	Strassburg/Strasbourg Bus	1	0	0	0
449	FOR	Fortaleza CE BR	0	1	0	0
450	MHG	Mannheim	1	1	0	0
451	XRF	Marseille Rail Svc FR	0	1	1	0
452	YKM	Yakima WA US	0	1	0	0
453	XRY	Jerez de la Frontera	1	0	0	0
454	FOC	Fuzhou, China	0	0	1	0
455	DDC	Dodge City, KS	0	0	1	0
456	MHT	Manchester, NH	0	0	1	0
457	LJU	Ljubljana	1	0	0	1
458	ANF	Antofagasta CL	0	1	0	0
459	RNO	Reno	1	1	1	0
460	RNN	Bornholm	1	0	0	0
461	ANC	Anchorage AK US	0	1	1	0
462	GDL	Guadalajara	1	1	0	0
463	PSA	Pisa	1	0	0	0
464	LCY	London City	1	0	0	0
465	LCG	La Coruna	1	0	0	0
466	LCA	Larnaca	1	1	0	0
467	PSR	Pescara	1	0	0	0
468	BLI	Bellingham WA US	0	1	0	0
469	PSP	Palm Springs	1	1	1	0
470	OPO	Porto	1	0	1	0
471	LBL	Liberal, KS	0	0	1	0
472	MOD	Modesto, CA	0	0	1	0
473	TMP	Tampere	1	0	0	0
474	BCN	Barcelona	1	1	0	1
475	COR	Cordoba CD AR	0	1	0	0
476	FSD	Sioux Falls, SD	0	0	1	0
477	HND	Tokio/Tokyo Haneda	1	0	1	0
478	ILM	Wilmington, NC	0	0	1	0
479	HNL	Honolulu	1	1	1	0
480	PER	Perth	1	1	1	0
481	SXM	St Maarten AN	0	1	1	0
482	GWT	Westerland	1	0	0	0
483	PEN	Penang	1	1	0	0
484	UIO	Quito EC	0	1	0	0
485	KMQ	Komatsu, Japan	0	0	1	0
486	PEK	Peking/Beijing	1	1	1	0
487	PEE	Perm	1	0	0	0
488	OLB	Olbia	1	0	0	0
489	MSY	New Orleans	1	1	1	0
490	CID	Cedar Rapids	1	1	1	0
491	RAR	Rarotonga, Cook Islands	0	0	1	0
492	VRN	Verona	1	0	1	0
493	TVC	Traverse City MI US	0	1	1	0
494	HET	Hohhot, China	0	0	1	0
495	XMN	Xiamen	1	0	1	0
496	HER	Heraklion	1	0	0	0
497	FCA	Kalispell, MT	0	0	1	0
498	KRT	Khartoum	1	0	0	0
499	KRK	Krakau/Krakow	1	0	1	0
500	SRQ	Sarasota, FL	0	0	1	0
501	HEL	Helsinki	1	1	1	0
502	YYT	St. John’s	1	0	0	0
503	RUH	Riad/Riyadh	1	0	0	0
504	CDG	Paris Ch. De Gaulle	1	1	1	1
505	PLS	Providenciales TC	0	1	0	0
506	UFA	Ufa	1	0	0	0
507	BJL	Banjul GM	0	1	0	0
508	PLZ	Port Elizabeth	1	0	1	0
509	YYZ	Toronto	1	1	1	0
510	YYC	Calgary	1	1	1	0
511	PSC	Pasco WA US	0	1	1	0
512	BJX	Leon-Guanajuato	1	1	0	0
513	MKE	Milwaukee	1	1	1	0
514	HYD	Hyderabad (Indien)	1	0	1	0
515	DIK	Dickinson, ND	0	0	1	0
516	STR	Stuttgart	1	1	1	0
517	MKK	Hoolehua, HI	0	0	1	0
518	IYK	Inyokern, CA	0	0	1	0
519	LOS	Lagos	1	0	1	0
520	HYS	Hays, KS	0	0	1	0
521	GND	Grenada GD	0	1	0	0
522	CVG	Cincinnati	1	1	1	0
523	AIA	Alliance, NE	0	0	1	0
524	BFF	Scottsbluff, NE	0	0	1	0
525	SMX	Santa Maria, CA	0	0	1	0
526	NSI	Yaounde (Nsimalen) CM	0	1	0	0
527	FAY	Fayetteville NC	1	0	1	0
528	TPA	Tampa	1	1	1	0
529	MBJ	Montego Bay JM	0	1	1	0
530	SOF	Sofia	1	1	0	0
531	FAR	Fargo	1	0	1	0
532	OKC	Oklahoma City	1	1	1	0
533	FAT	Fresno	1	1	1	0
534	FAI	Fairbanks AK US	0	1	0	0
535	FAO	Faro	1	0	1	0
536	SOW	Show Low, AZ	0	0	1	0
537	MBS	Saginaw, MI	0	0	1	0
538	MTY	Monterrey (Mexiko)	1	1	0	0
539	GYE	Guayaquil EC	0	1	0	0
540	MTJ	Montrose CO US	0	1	1	0
541	HPN	Westchester NY US	0	1	1	0
542	MOB	Mobile AL US	0	1	0	0
543	YOW	Ottawa	1	1	1	0
544	MRS	Marseille	1	1	0	0
545	QWU	Wuerzburg (Main/HBF) Rail Svc DE	0	1	0	0
546	NAN	Nadi, Fiji	0	0	1	0
547	SDQ	Santo Domingo DO	0	1	0	0
548	EBB	Entebbe UG	0	1	0	0
549	TGU	Tegucigalpa HN	0	1	1	0
550	TGZ	Tuxtla Gutierrez MX	0	1	0	0
551	SDF	Louisville	1	1	1	0
552	PWM	Portland ME	1	0	1	0
553	SDJ	Sendai	1	0	1	0
554	GSP	Greenville-Spartanburg	1	1	1	0
555	CTU	Chengdu	1	1	1	0
556	HBE	Alexandria Borg El Arab	1	0	1	0
557	DRS	Dresden	1	0	0	0
